,fid,idiip,id_prng,naz_glowna,el_rozroz,el_rodzaj,dopelniacz,przymiot,status_naz,kat_ob,rodzaj_ob,naz_m_nad,id_m_nad,infor_dod,sys_zew,id_zew,tyt_d_zrod,dat_d_zrod,wyd_d_zrod,reprez_ob,wsp_geo,wsp_XY,naz_his,naz_obo,naz_dod,jez_dod,lat_dod,endonim,jez_end,lat_end,egzonim,jez_egz,lat_egz,woj,powiat,gmina,id_gminy,pocz_w_ob,wer_ob,wazna_od,geometry,nearest1,cluster1,nearest2,nearest2_dist,cluster2,nearest3,nearest3_dist,cluster3,nearest4,nearest4_dist,cluster4,nearest5,nearest5_dist,cluster5,line1,line2,line3,line4,line5
665,666,PL.PZGiK.320.NGRP.115965,115965,Rogoźno,Rogoźno,,-na,rogozieński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0967080,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°45'08"" 16°59'30""",364497.12 544849.27,,,,,,,,,,,,wielkopolskie,obornicki,Rogoźno-gmina miejsko-wiejska,3016023,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-04-18,POINT (364497.12000000005 544849.2699999986),714,714,67,15328,848.0,-1,31770,848.0,-1,32486,848.0,-1,115079,244.0,"LINESTRING (364497.12000000005 544849.2699999986, 375567.59000000014 535785.8799999999)","LINESTRING (364497.12000000005 544849.2699999986, 364668.60000000003 560176.3499999996)",,,
666,667,PL.PZGiK.320.NGRP.116521,116521,Ropczyce,Ropczyce,,-czyc,ropczycki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0974825,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°03'10"" 21°36'40""",686849.42 246108.4,,,,,,,,,,,,podkarpackie,ropczycko-sędziszowski,Ropczyce-gmina miejsko-wiejska,1815033,2021-04-08T09:00:00,2021-04-08T09:00:00,2020-10-21,POINT (686849.42 246108.4000000013),691,691,132,14617,339.0,-1,24164,949.0,-1,24164,863.0,-1,189173,244.0,"LINESTRING (686849.42 246108.4000000013, 693285.48 248355.63999999966)","LINESTRING (686849.42 246108.4000000013, 672248.9299999999 245403.16999999993)",,,
667,668,PL.PZGiK.320.NGRP.117457,117457,Różan,Różan,,-na,różański,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0966412,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°53'26"" 21°23'48""",661177.62 561028.04,,,,,,,,,,,,mazowieckie,makowski,Różan-gmina miejsko-wiejska,1411073,2021-12-21T22:41:05,2021-12-21T22:41:05,2017-07-24,POINT (661177.62 561028.0399999991),420,634,-1,32989,940.0,-1,49395,571.0,-1,49395,863.0,-1,49395,244.0,"LINESTRING (661177.62 561028.0399999991, 641438.46 557347.3200000003)",,,,
668,669,PL.PZGiK.320.NGRP.117636,117636,Ruciane-Nida,Ruciane-Nida,,-nego-Nidy,ruciańsko-nidzki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0977841,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°38'30"" 21°32'14""",667666.28 644871.72,,,,,,,,,,,,warmińsko-mazurskie,piski,Ruciane-Nida-gmina miejsko-wiejska,2816043,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-07-01,POINT (667666.2799999999 644871.7199999997),590,784,443,18139,680.0,-1,31561,249.0,-1,62388,848.0,-1,62388,244.0,"LINESTRING (667666.2799999999 644871.7199999997, 685480.8199999998 644226.3499999996)","LINESTRING (667666.2799999999 644871.7199999997, 669303.8700000001 662937.5800000001)",,,
669,670,PL.PZGiK.320.NGRP.117813,117813,Ruda Śląska,Ruda Śląska,,-dy -kiej,rudzki,urzędowa,miejscowość,miasto,,,brak powiatu ziemskiego,TERYT (SIMC),0942630,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"50°16'50"" 18°51'33""",489968.76 268162.78,,,,,,,,,,,,śląskie,Ruda Śląska,Ruda Śląska-gmina miejska,2472011,2021-09-23T00:36:52,2021-09-23T00:36:52,2013-06-09,POINT (489968.76000000007 268162.77999999933),811,811,-1,8684,698.0,-1,12751,540.0,-1,96757,863.0,-1,96757,244.0,"LINESTRING (489968.76000000007 268162.77999999933, 493947.0800000001 269422.7000000011)",,,,
670,671,PL.PZGiK.320.NGRP.118118,118118,Rudnik nad Sanem,Rudnik nad Sanem,,-ka nad Sanem,rudnicki,urzędowa,miejscowość,miasto,,,do 1996 r. - Rudnik,TERYT (SIMC),0980850,"Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Zarządzenie Ministra-Szefa Urzędu Rady Ministrów z dnia 12 grudnia 1996 r., M.P. Nr 79, poz. 714; Rozporządzenie Ministra Administracj",1982-01-01; 1996-12-12; 2012-12-13,Główny Urząd Statystyczny; Minister-Szef Urzędu Rady Ministrów; Minister Administracji i Cyfryzacji,punkt główny,"50°26'30"" 22°14'48""",730440.83 291090.92,Rudnik,,,,,,,,,,,podkarpackie,niżański,Rudnik nad Sanem-gmina miejsko-wiejska,1812063,2021-04-08T09:00:00,2021-04-08T09:00:00,2020-10-12,POINT (730440.8300000001 291090.9199999999),849,849,-1,11061,849.0,-1,25172,849.0,-1,31693,863.0,-1,194616,244.0,"LINESTRING (730440.8300000001 291090.9199999999, 731673.4899999999 296661.04000000004)",,,,
671,672,PL.PZGiK.320.NGRP.118358,118358,Rumia,Rumia,,-mi,rumski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0934694,"Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1982-01-01; 1991-01-01; 2012-12-13,Główny Urząd Statystyczny; Główny Geodeta Kraju; Minister Administracji i Cyfryzacji,punkt główny,"54°33'51"" 18°23'20""",460497.74 744650.85,,,,,,,,,,,,pomorskie,wejherowski,Rumia-gmina miejska,2215021,2021-09-23T00:36:52,2021-09-23T00:36:52,2013-06-09,POINT (460497.74 744650.8499999987),661,672,168,11195,672.0,-1,54946,862.0,-1,82222,848.0,-1,228876,244.0,"LINESTRING (460497.74 744650.8499999987, 457970.35 749030.8699999992)","LINESTRING (460497.74 744650.8499999987, 470393.44999999995 739415.5499999989)",,,
672,673,PL.PZGiK.320.NGRP.118969,118969,Rybnik,Rybnik,,-ka,rybnicki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0942765,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°05'41"" 18°32'32""",467266.8 247597.34,,,,,,,,,,,,śląskie,Rybnik,Rybnik-gmina miejska,2473011,2021-09-23T00:36:52,2021-09-23T00:36:52,2013-06-09,POINT (467266.79999999993 247597.34000000078),643,675,119,11234,540.0,-1,20245,540.0,-1,95899,863.0,-1,95899,244.0,"LINESTRING (467266.79999999993 247597.34000000078, 460963.64999999997 242306.86000000034)","LINESTRING (467266.79999999993 247597.34000000078, 475959.0800000001 254714.49000000115)",,,
673,674,PL.PZGiK.320.NGRP.119092,119092,Rychwał,Rychwał,,-ła,rychwalski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0949193,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°04'12"" 18°09'59""",442872.85 467419.17,,,,,,,,,,,,wielkopolskie,koniński,Rychwał-gmina miejsko-wiejska,3010073,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-04-07,POINT (442872.85 467419.17000000086),837,837,-1,18578,839.0,-1,18578,766.0,-1,50126,848.0,-1,78578,244.0,"LINESTRING (442872.85 467419.17000000086, 451603.82 468152.0900000008)",,,,
674,675,PL.PZGiK.320.NGRP.119143,119143,Rydułtowy,Rydułtowy,,-tów,rydułtowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0943121,"Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).",2012-12-13; 1982-01-01,Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"50°03'29"" 18°25'04""",458336.74 243583.73,,,,,,,,,,,,śląskie,wodzisławski,Rydułtowy-gmina miejska,2415031,2021-09-23T00:36:52,2021-09-23T00:36:52,2013-06-09,POINT (458336.73999999993 243583.73000000045),631,675,-1,14610,540.0,-1,14610,540.0,-1,90070,863.0,-1,90070,244.0,"LINESTRING (458336.73999999993 243583.73000000045, 456768.04000000027 241311.3499999987)",,,,
675,676,PL.PZGiK.320.NGRP.119184,119184,Rydzyna,Rydzyna,,-ny,rydzyński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0954633,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"51°47'12"" 16°40'02""",339152.08 438162.62,,,,,,,,,,,,wielkopolskie,leszczyński,Rydzyna-gmina miejsko-wiejska,3013043,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-04-13,POINT (339152.0800000003 438162.6199999992),362,676,608,10096,676.0,-1,24245,766.0,-1,24245,848.0,-1,24245,244.0,"LINESTRING (339152.0800000003 438162.6199999992, 332964.04000000004 444668.4099999992)","LINESTRING (339152.0800000003 438162.6199999992, 348826.42 435273.0700000003)",,,
676,677,PL.PZGiK.320.NGRP.119200,119200,Ryglice,Ryglice,,-lic,ryglicki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0829098,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"49°52'45"" 21°08'18""",653579.73 225729.78,,,,,,,,,,,,małopolskie,tarnowski,Ryglice-gmina miejsko-wiejska,1216063,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-03-29,POINT (653579.73 225729.78000000026),835,835,-1,15546,835.0,-1,15546,949.0,-1,47124,863.0,-1,178585,244.0,"LINESTRING (653579.73 225729.78000000026, 647506.8200000001 227320.8099999996)",,,,
677,678,PL.PZGiK.320.NGRP.119227,119227,Ryki,Ryki,,Ryk,rycki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0956980,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"51°37'33"" 21°56'03""",703018.89 421780.88,,,,,,,,,,,,lubelskie,rycki,Ryki-gmina miejsko-wiejska,0616043,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-12-22,POINT (703018.8899999999 421780.8799999999),133,678,-1,20619,607.0,-1,27023,863.0,-1,54435,863.0,-1,123426,244.0,"LINESTRING (703018.8899999999 421780.8799999999, 697160.04 414877.8099999996)",,,,
678,679,PL.PZGiK.320.NGRP.119262,119262,Rymanów,Rymanów,,-nowa,rymanowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0953421,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"49°34'34"" 21°52'03""",707238.8 193813.84,,,,,,,,,,,,podkarpackie,krośnieński,Rymanów-gmina miejsko-wiejska,1807083,2021-04-08T09:00:00,2021-04-08T09:00:00,2020-07-23,POINT (707238.8 193813.83999999892),225,679,-1,14785,339.0,-1,33143,949.0,-1,33143,863.0,-1,239227,244.0,"LINESTRING (707238.8 193813.83999999892, 701874.9 192473.25999999885)",,,,
679,680,PL.PZGiK.320.NGRP.119275,119275,Ryn,Ryn,,-na,ryński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0977893,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°56'20"" 21°32'48""",667103.43 677916.13,,,,,,,,,,,,warmińsko-mazurskie,giżycki,Ryn-gmina miejsko-wiejska,2806083,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-06-03,POINT (667103.43 677916.129999999),443,680,-1,19076,680.0,282,19076,249.0,-1,92065,848.0,-1,95403,244.0,"LINESTRING (667103.43 677916.129999999, 669303.8700000001 662937.5800000001)",,"LINESTRING (667103.43 677916.129999999, 655320.6400000001 692918.9199999999)",,
680,681,PL.PZGiK.320.NGRP.119362,119362,Rypin,Rypin,,-na,rypiński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0986136,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°03'57"" 19°24'47""",527669.26 577916.43,,,,,,,,,,,,kujawsko-pomorskie,rypiński,Rypin-gmina miejska,0412011,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-09-03,POINT (527669.26 577916.4300000006),56,370,-1,22446,370.0,-1,22446,766.0,-1,24624,848.0,-1,53274,244.0,"LINESTRING (527669.26 577916.4300000006, 526859.1299999999 599100.2899999991)",,,,
681,682,PL.PZGiK.320.NGRP.119774,119774,Rzepin,Rzepin,,-na,rzepiński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0935682,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°20'54"" 14°49'37""",215898.06 506225.95,,,,,,,,,,,,lubuskie,słubicki,Rzepin-gmina miejsko-wiejska,0805043,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-01-26,POINT (215898.05999999988 506225.94999999925),552,682,-1,17166,765.0,-1,29537,829.0,-1,37774,848.0,-1,44090,244.0,"LINESTRING (215898.05999999988 506225.94999999925, 219573.86000000004 517798.1500000004)",,,,
682,683,PL.PZGiK.320.NGRP.119861,119861,Rzeszów,Rzeszów,,-szowa,rzeszowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0974133,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"50°02'28"" 21°59'57""",714674.89 245845.78,,,,,,,,,,,,podkarpackie,Rzeszów,Rzeszów-gmina miejska,1863011,2021-04-08T09:00:00,2021-04-08T09:00:00,2020-09-15,POINT (714674.8900000002 245845.7800000012),46,844,-1,16573,628.0,-1,21536,849.0,-1,21536,863.0,-1,208819,244.0,"LINESTRING (714674.8900000002 245845.7800000012, 710670.04 239140.1299999999)",,,,
683,684,PL.PZGiK.320.NGRP.119938,119938,Rzgów,Rzgów,,Rzgowa,rzgowski,urzędowa,miejscowość,miasto,,,do 2005 r. - wieś,TERYT (SIMC),0415787,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Rady Ministrów z dnia 26 lipca 2005 r., D.U. Nr 141, poz. 1185; Rozporządzenie Ministra Administracji i Cyfryzacji z dni",1991-01-01; 2005-07-26; 2012-12-13,Główny Geodeta Kraju; Rada Ministrów; Minister Administracji i Cyfryzacji,punkt główny,"51°39'47"" 19°29'24""",533888.72 421957.43,,,,,,,,,,,,łódzkie,łódzki wschodni,Rzgów-gmina miejsko-wiejska,1006103,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-11-23,POINT (533888.72 421957.4299999997),840,840,-1,11428,393.0,-1,25924,934.0,-1,44899,848.0,-1,53845,244.0,"LINESTRING (533888.72 421957.4299999997, 537655.1100000002 415407.1099999994)",,,,
684,685,PL.PZGiK.320.NGRP.120700,120700,Sandomierz,Sandomierz,,-rza,sandomierski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0980926,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°40'46"" 21°44'58""",694189.52 316089.15,,,,,,,,,,,,świętokrzyskie,sandomierski,Sandomierz-gmina miejska,2609011,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-09-14,POINT (694189.52 316089.14999999944),814,814,-1,16088,814.0,-1,16088,863.0,-1,25527,863.0,-1,150778,244.0,"LINESTRING (694189.52 316089.14999999944, 689044.5299999999 303744.1599999992)",,,,
685,686,PL.PZGiK.320.NGRP.120725,120725,Sanniki,Sanniki,,-nnik,sannicki,urzędowa,miejscowość,miasto,,,do 2017 r. - wieś,TERYT (SIMC),0574511,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Rozporządzenie Rady Ministrów",1991-01-01; 2012-12-13; 2017-07-24; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Rada Ministrów; Główny Urząd Statystyczny,punkt główny,"52°19'55"" 19°51'43""",558725.0 496559.82,,,,,,,,,,,,mazowieckie,gostyniński,Sanniki-gmina miejsko-wiejska,1404043,2022-01-11T17:39:01,2022-01-11T17:39:01,2017-12-29,POINT (558725.0000000001 496559.81999999844),166,686,-1,18809,625.0,-1,23299,766.0,-1,23299,848.0,-1,23299,244.0,"LINESTRING (558725.0000000001 496559.81999999844, 549931.52 503863.6299999999)",,,,
686,687,PL.PZGiK.320.NGRP.120733,120733,Sanok,Sanok,,-ka,sanocki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0953510,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"49°33'36"" 22°12'08""",731491.0 192974.2,,,,,,,,,,,,podkarpackie,sanocki,Sanok-gmina miejska,1817011,2021-04-08T09:00:00,2021-04-08T09:00:00,2021-01-15,POINT (731491 192974.19999999832),916,916,66,19949,339.0,-1,28810,949.0,-1,28810,863.0,-1,258132,244.0,"LINESTRING (731491 192974.19999999832, 736395.76 188109.16999999993)","LINESTRING (731491 192974.19999999832, 717676.4399999998 207366.72999999952)",,,
687,688,PL.PZGiK.320.NGRP.121201,121201,Sejny,Sejny,,Sejn,sejneński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0977918,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"54°06'23"" 23°20'59""",784224.08 702306.45,,,,,,,,,,,,podlaskie,sejneński,Sejny-gmina miejska,2009011,2021-09-23T00:36:52,2021-09-23T00:36:52,2013-06-09,POINT (784224.0800000001 702306.4500000002),771,771,-1,38242,680.0,-1,41647,249.0,-1,41647,848.0,-1,163877,244.0,"LINESTRING (784224.0800000001 702306.4500000002, 756640.2500000001 700194.04)",,,,
688,689,PL.PZGiK.320.NGRP.121316,121316,Serock,Serock,,-ka,serocki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0921645,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"52°30'49"" 21°04'14""",640455.46 518441.82,,,,,,,,,,,,mazowieckie,legionowski,Serock-gmina miejsko-wiejska,1408043,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-06-29,POINT (640455.46 518441.8200000003),652,900,-1,15675,940.0,-1,38622,571.0,-1,69187,863.0,-1,81083,244.0,"LINESTRING (640455.46 518441.8200000003, 648288.25 508056.44000000134)",,,,
689,690,PL.PZGiK.320.NGRP.121549,121549,Sędziszów,Sędziszów,,-szowa,sędziszowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0947610,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200",1991-01-01; 2012-12-13,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji,punkt główny,"50°33'48"" 20°03'07""",574482.62 300117.15,,,,,,,,,,,,świętokrzyskie,jędrzejowski,Sędziszów-gmina miejsko-wiejska,2602063,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-07-12,POINT (574482.6199999999 300117.1500000013),890,890,-1,23129,705.0,-1,28650,540.0,-1,58584,863.0,-1,70510,244.0,"LINESTRING (574482.6199999999 300117.1500000013, 584453.9 295527.3200000003)",,,,
690,691,PL.PZGiK.320.NGRP.121550,121550,Sędziszów Małopolski,Sędziszów Małopolski,,-szowa -kiego,sędziszowski,urzędowa,miejscowość,miasto,,,do 2006 r. - istniała część miasta: Podlipie (nazwa zniesiona),TERYT (SIMC),0974937,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra SWiA z dnia 15 grudnia 2006 r., D.",1991-01-01; 1982-01-01; 2006-12-15; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Spraw Wewnętrznych i Administracji; Minister Administracji i Cyfryzacji,punkt główny,"50°04'16"" 21°42'07""",693285.48 248355.64,,,,,,,,,,,,podkarpackie,ropczycko-sędziszowski,Sędziszów Małopolski-gmina miejsko-wiejska,1815043,2021-04-08T09:00:00,2021-04-08T09:00:00,2020-10-23,POINT (693285.48 248355.63999999966),667,691,-1,19676,339.0,-1,19676,949.0,-1,19676,863.0,-1,191854,244.0,"LINESTRING (693285.48 248355.63999999966, 686849.42 246108.4000000013)",,,,
